091101  1o 1+ 1- 1-  0o 1- 1- 0o    5o      3 0.0
091102  0o 0+ 2o 1+  0+ 1- 0+ 0o    5o      3 0.0
091103  0o 0o 0o 0o  0+ 0o 0+ 0o    1- Q4   0 0.0
091104  0o 0o 0o 0o  0o 0o 1- 0o    1- Q7   0 0.0
091105  0o 0+ 0+ 0o  0+ 0o 0o 0o    1o Q5   1 0.0
091106  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
091107  0o 0o 0o 0o  0o 0o 0o 1o    1o      0 0.0
091108  1o 1+ 1- 2-  2+ 2+ 3- 2+   14+ D3*  7 0.4
091109  2- 2o 2- 1+  0+ 1- 0o 0+    8o      4 0.1
091110  1- 0+ 0o 0o  0o 0o 0+ 0+    2- Q0   1 0.0
091111  1- 0o 0o 0o  0o 0o 0o 0o    1- Q8   0 0.0
091112  0o 0o 0o 0o  0o 0o 0o 1o    1o      0 0.0
091113  0o 0+ 0o 0o  0+ 0+ 1+ 1o    3+      2 0.0
091114  1+ 1o 2- 2o  2- 1o 1o 2o   12-      5 0.2
091115  2+ 1o 1+ 0+  2- 3- 1o 0+   11- D5*  6 0.2
091116  0o 0o 0o 0o  0o 0o 1- 0o    1- Q9   0 0.0
091117  1o 0o 0o 0o  0o 1- 1- 0o    2+      1 0.0
091118  0o 0o 1o 1-  0+ 0+ 0o 1-    3o      2 0.0
091119  0o 0+ 0o 0+  0+ 1- 0+ 2o    4o      2 0.0
091120  1+ 0o 0o 0+  1- 1- 1+ 0+    5-      2 0.0
091121  3o 2o 2o 2-  1+ 0+ 2+ 3-   15+ D2*  8 0.4
091122  3- 1- 2- 0+  1o 2o 1- 0+    9+      5 0.2
091123  0o 0o 0o 0o  0+ 0o 0o 0o    0+ Q2   0 0.0
091124  0+ 0o 0o 1-  3- 3o 4- 3-   13o D1*  8 0.4
091125  2+ 3- 2- 1o  2- 0+ 0+ 1o   11o D4*  6 0.3
091126  1+ 1- 1+ 2o  1o 2+ 2- 1+   12-      6 0.2
091127  0+ 1o 1- 0+  0o 0+ 0+ 0o    3o      2 0.0
091128  0o 0o 1+ 1o  0+ 1- 0+ 0+    4o      2 0.0
091129  0o 0o 0+ 0o  0o 0o 0o 0o    0+ Q3   0 0.0
091130  0o 0o 0+ 0+  0+ 0o 0o 0o    1o Q6   1 0.0
0911                                  Mean  3 0.08

0911 Q  6  23  29   3   5  30   4  11  16  10 
0911 D 24* 21*  8* 25* 15*
