940201  2+ 1- 2o 2+  2- 1- 1- 0+   11- Q2   5 0.2
940202  0+ 2+ 3+ 4o  4+ 3o 2+ 0+   20o Q0A 14 0.8
940203  0+ 2- 2+ 2+  3+ 3+ 3o 3-   19o Q8A 11 0.6
940204  2o 2o 2o 1+  3- 4- 4+ 3o   21o     13 0.8
940205  4- 3o 4- 5o  3o 4o 5- 6-   33-     32 1.3
940206  6o 4+ 4- 5+  6- 6+ 6o 6o   43+ D3  64 1.7
940207  5- 6o 5- 6o  6+ 5+ 6o 4+   43+ D4  62 1.7
940208  6+ 6- 6- 5o  6- 5+ 5+ 5+   44+ D2  64 1.7
940209  4+ 4- 4o 4-  4+ 5+ 5o 5+   36-     37 1.4
940210  5+ 5o 4+ 4+  5- 5- 4+ 5-   37+     40 1.4
940211  5o 5o 4o 6-  5- 5+ 5+ 5+   40+     50 1.6
940212  5- 4+ 4- 4o  5- 4+ 5- 5-   35o     34 1.3
940213  5- 4- 3+ 4o  4- 5+ 6+ 5-   36-     40 1.4
940214  5- 4+ 4+ 3+  4- 6o 4+ 5o   36-     38 1.4
940215  4o 3+ 3+ 3o  4+ 4o 4+ 5-   31o     26 1.2
940216  5o 5- 3o 3+  4o 3o 3+ 3-   29o     24 1.2
940217  3- 3- 3- 2+  3- 3- 3- 2o   20+ Q7A 11 0.6
940218  2- 1+ 1+ 3-  1+ 1- 0+ 3o   12+ Q3A  7 0.3
940219  4o 4- 4+ 4-  4+ 3o 4+ 3+   31-     25 1.2
940220  5- 4o 3o 3-  2o 2+ 3+ 2o   24o     17 0.9
940221  2+ 3- 3+ 7+  8- 8- 6o 7o   44o D1  95 1.9
940222  8- 7+ 5+ 5-  5- 3o 2+ 3o   38o D5  63 1.7
940223  3- 3+ 3- 3-  2o 2- 3+ 2+   21- Q9A 12 0.7
940224  2- 1o 1+ 1+  2- 1+ 1o 1-   10o Q1   5 0.2
940225  2o 3- 4o 4-  3- 3- 3o 2o   23-     14 0.8
940226  3+ 2o 1+ 1+  2+ 2- 1- 1-   13+ Q4A  7 0.4
940227  1- 2o 2o 3+  3- 2- 1- 1-   14- Q5A  7 0.4
940228  0+ 0+ 3+ 3-  2o 1- 2+ 4o   16- Q6A 10 0.6
9402                                  Mean 30 1.05
