070901  2o 1+ 2+ 2+  2+ 2+ 3- 4-   19o     10 0.6
070902  5- 5- 3o 4-  4o 3- 4o 2+   29o D2  24 1.1
070903  2+ 3- 2o 3-  3- 2+ 1+ 3-   19-     10 0.5
070904  2o 2- 2- 2-  1o 1- 1o 2-   11+      5 0.2
070905  3- 3o 3+ 2+  2+ 1+ 2+ 2o   19+     10 0.6
070906  3o 2+ 1o 2o  1+ 3- 3- 4o   19o     11 0.7
070907  4+ 4- 1+ 1+  2- 3- 2- 1o   18-     12 0.7
070908  2o 2- 2o 2-  1+ 2o 2- 1-   13o      6 0.3
070909  0o 0o 0+ 1-  1- 1- 0o 1-    3o Q2   2 0.0
070910  1- 0+ 1- 1-  0+ 0+ 0+ 0+    4- Q3   2 0.0
070911  0o 0o 1- 1-  1- 1- 1- 1-    4o Q4   2 0.0
070912  1o 1o 1- 1-  0+ 0o 0o 0+    4o Q5   2 0.0
070913  0o 0o 0o 0+  0o 0o 1o 1-    2o Q1   1 0.0
070914  1o 0o 0o 1-  1- 2+ 2+ 2o    9o      4 0.2
070915  2o 0+ 0+ 1-  1o 1+ 1o 2-    8+ Q0   4 0.1
070916  1+ 1o 0o 0+  0+ 1- 1o 0o    5- Q6   2 0.0
070917  0o 0o 0o 0+  1- 0+ 1o 2o    4+ Q7   2 0.0
070918  3o 1+ 0o 0+  1- 0+ 0o 0o    6-      3 0.1
070919  0+ 2- 1+ 1o  1+ 1- 0+ 0o    7- Q8   3 0.1
070920  0o 1o 0+ 2-  3- 3o 4o 3+   16o     10 0.6
070921  3- 2- 2- 1+  2o 2o 2+ 4-   17+      9 0.5
070922  3o 3- 3- 2-  2+ 3- 4- 3-   21+     12 0.7
070923  3+ 4+ 4o 3-  2o 1o 2o 3+   23- D4* 16 0.9
070924  3+ 4- 2+ 1+  2+ 2+ 2- 2o   19o     11 0.6
070925  3- 2- 1+ 1o  1- 1+ 3- 3-   14o      7 0.4
070926  2o 1+ 1- 1o  0+ 0o 1o 0+    7- Q9   3 0.1
070927  1- 0o 0o 3-  2- 5o 5- 4+   19o D5* 18 1.0
070928  4o 4- 5- 2o  1+ 3- 4+ 5o   28- D3  24 1.2
070929  5- 5o 5o 4o  4o 3- 4- 3+   32+ D1  30 1.3
070930  3+ 3+ 4- 2o  2- 2- 3- 2+   21-     12 0.7
0709                                  Mean  9 0.44

0709 Q 13   9  10  11  12  16  17  19  26  15 
0709 D 29   2  28  23* 27*
