080401  1+ 3- 2- 1-  1o 1- 1- 0o    9- Q5   4 0.2
080402  0o 1- 0+ 0o  0o 0+ 0+ 0+    2o Q1   1 0.0
080403  1+ 1- 0o 0+  1- 1- 0o 0o    4- Q3   2 0.0
080404  0o 0+ 0+ 1-  2+ 4- 4+ 3+   15o     11 0.6
080405  1+ 1+ 1o 3+  3- 5o 4- 4+   23- D3* 18 1.0
080406  3+ 5- 5- 3o  3+ 2o 2+ 3o   26+ D2  20 1.0
080407  3+ 4- 2o 2-  1+ 4- 3- 3o   21+     13 0.8
080408  2- 2o 2- 3-  3o 2o 2+ 3o   18+     10 0.5
080409  3+ 3- 4- 3+  3- 2- 2o 2+   22-     13 0.7
080410  3o 3- 2o 2-  2+ 2- 2+ 2+   18o      9 0.5
080411  2+ 1+ 0+ 2-  2- 1+ 0+ 1-   10- Q6   5 0.2
080412  3- 3+ 3o 3-  3o 1+ 3- 3-   21+     13 0.7
080413  1o 2- 1+ 2+  3o 3o 2o 1o   15+      8 0.4
080414  1+ 1o 0o 0o  0o 0+ 0o 0+    3o Q2   2 0.0
080415  0o 0o 0+ 0+  2o 1+ 2- 3o    9- Q8K  5 0.2
080416  3o 2+ 3o 2+  3+ 3- 4o 3-   23+ D5* 15 0.8
080417  3+ 3- 1o 1o  1+ 2- 2- 1-   13+      7 0.4
080418  2o 2+ 2o 2-  2- 1+ 1+ 1+   14-      6 0.3
080419  2o 2- 1o 1o  1- 1+ 1+ 3-   12- Q9   6 0.3
080420  2o 0+ 0+ 1-  1- 2- 1o 1-    7+ Q4   4 0.1
080421  2o 2+ 1- 1+  1o 2- 1- 1-   10+ Q7   5 0.2
080422  0+ 1- 1- 1+  1- 3- 2+ 3o   12-      6 0.3
080423  3o 4o 5+ 3+  4- 4+ 4o 4-   31+ D1  27 1.2
080424  4- 4- 4- 3+  3+ 2o 2o 3-   24+ D4* 16 0.9
080425  2+ 3- 2+ 2-  2o 2- 2- 1+   16-      8 0.4
080426  3o 1+ 2o 2o  2- 3+ 2+ 3-   18+     10 0.6
080427  3- 2+ 2o 2-  1+ 2o 1+ 1o   14+      7 0.3
080428  1+ 1- 2o 2o  3- 4- 3+ 3o   19-     11 0.6
080429  3o 2+ 1+ 0+  1o 1- 1+ 1o   11o Q0K  6 0.3
080430  0o 0+ 0+ 1o  1o 3o 4+ 1o   11o      8 0.4
0804                                  Mean  9 0.46

0804 Q  2  14   3  20   1  11  21  15K 19  29K
0804 D 23   6   5* 24* 16*
