090101  2- 2+ 3- 2o  2+ 2- 1- 2-   15o D4*  7 0.4
090102  1- 1- 0o 0+  1- 2o 2- 3-    9-      4 0.2
090103  3- 3o 3- 4-  2o 2+ 1- 2o   19o D1* 11 0.6
090104  2+ 1- 1- 1o  1- 2+ 2- 0+   10-      5 0.2
090105  1o 1+ 1o 1o  1o 2- 1o 2o   10o      5 0.2
090106  2o 2- 0+ 1o  1o 1+ 0o 0o    7+      4 0.1
090107  0+ 1- 1o 0+  0+ 1- 0o 1-    4o Q7   2 0.0
090108  0o 0o 0+ 1-  2o 1+ 1- 1+    6+      3 0.1
090109  2- 1+ 1o 1-  2o 2- 2- 1o   11o      5 0.2
090110  3o 2+ 1o 1o  0+ 0o 0+ 1o    9o      5 0.2
090111  1o 0o 0o 1-  0o 0o 0o 0o    2- Q4   1 0.0
090112  0o 0o 0o 0o  0o 0o 0+ 0o    0+ Q1   0 0.0
090113  1o 2o 2- 0o  1o 1o 1+ 1o    9o      4 0.1
090114  2+ 2o 1o 2-  2+ 1- 1+ 1+   13-      6 0.3
090115  1+ 2o 1o 1+  1- 2o 2+ 2+   13o      6 0.3
090116  2o 2o 0o 1-  1- 1+ 1o 0o    8-      4 0.1
090117  0+ 1- 1o 0+  0+ 1+ 1o 0+    5+ Q0   3 0.1
090118  0+ 0o 0+ 1-  0+ 1- 1o 1o    4+ Q8   2 0.0
090119  4o 2+ 2+ 1-  1o 2- 2- 2+   16o D3*  9 0.5
090120  2o 1- 1- 0+  0+ 0o 2o 1+    7+      4 0.1
090121  0o 0o 0o 1o  1- 2o 2o 1o    7-      3 0.1
090122  0o 1- 0+ 0+  0+ 0+ 0+ 0o    2+ Q2   2 0.0
090123  0o 0o 0+ 0+  1- 0o 0o 1-    2o Q3   1 0.0
090124  1o 1o 0o 0o  0o 0+ 0o 0+    3- Q5   2 0.0
090125  1- 0o 0o 0o  1- 0+ 0+ 2-    4- Q9   2 0.0
090126  3+ 2+ 3- 2o  3o 3+ 2- 0+   19- D2* 11 0.6
090127  0+ 1o 0+ 0+  0+ 2- 2o 2-    8-      4 0.1
090128  0o 0o 0o 1o  1- 1- 0+ 1-    3+ Q6   2 0.0
090129  0o 2o 2+ 1+  1+ 0+ 0+ 0o    8-      4 0.1
090130  0+ 1+ 0+ 1o  0+ 0+ 1+ 2o    7o      4 0.1
090131  1+ 1o 2+ 2-  3- 1+ 2o 2o   14+ D5*  7 0.3
0901                                  Mean  4 0.16

0901 Q 12  22  23  11  24  28   7  18  25  17 
0901 D  3* 26* 19*  1* 31*
