100201  1+ 0o 2- 2-  3- 3- 2o 4-   16- D5*  9 0.5
100202  3o 2o 1o 2-  2o 2- 1+ 4o   17- D2* 10 0.5
100203  3o 1o 3- 3-  3- 3- 2o 1-   17+ D3* 10 0.5
100204  2+ 1+ 0+ 0o  0o 0o 0o 1o    5o      2 0.0
100205  1- 1o 0+ 0+  0+ 1- 0o 0+    4- Q4   2 0.0
100206  0+ 0o 0o 1-  2o 3- 1+ 1+    8+      4 0.1
100207  1- 0+ 0+ 0+  0o 1- 2- 2o    6o Q0   3 0.1
100208  3- 2+ 0+ 1o  0+ 0o 0o 2-    8+      4 0.2
100209  1o 0+ 1- 1o  0+ 1- 0+ 0+    5- Q6   3 0.0
100210  1o 1+ 1- 1o  0+ 0o 1- 1-    6- Q8   3 0.1
100211  2o 2o 2- 1+  2o 1- 0+ 1o   11o      5 0.2
100212  2- 3+ 2- 1o  1- 1+ 1- 1o   11+      6 0.3
100213  1o 1o 0+ 0+  0+ 2- 2+ 1o    8o      4 0.1
100214  1- 0+ 0+ 1-  2o 0o 0+ 3-    7o      4 0.1
100215  3o 3o 2- 2o  1+ 2o 4- 4+   21o D1* 14 0.8
100216  4- 2o 2+ 2+  0+ 1- 1+ 3+   16o D4*  9 0.5
100217  3+ 2+ 1- 0+  0o 0o 0+ 3o   10o      6 0.3
100218  0+ 0o 0+ 1o  2o 3o 2o 0+    9o      5 0.2
100219  1+ 1- 0+ 1-  1o 1- 2o 2-    8+      4 0.1
100220  0o 0o 0o 0o  0+ 1- 0o 0+    1+ Q1   1 0.0
100221  0o 0o 0o 0o  1- 1- 1- 0+    2+ Q2   1 0.0
100222  1o 2o 0o 1o  1o 1+ 1+ 2-    9+      4 0.2
100223  2+ 1+ 0o 0+  0o 0+ 0+ 0o    5- Q9   2 0.0
100224  1- 2+ 0+ 1-  0+ 0+ 1o 1-    6+      4 0.1
100225  2o 0o 0+ 0o  0o 0+ 1o 3-    6+      3 0.1
100226  3- 0+ 0o 0+  0o 0o 0o 0o    3+ Q7   2 0.0
100227  0o 0o 0o 0o  0o 1- 1o 0+    2o Q3   1 0.0
100228  0o 0o 1o 0+  1o 1- 0+ 1-    4o Q5   2 0.0
1002                                  Mean  5 0.18

1002 Q 20  21  27   5  28   9  26  10  23   7 
1002 D 15*  2*  3* 16*  1*
