130301  5- 4- 5- 5o  4+ 4+ 4o 4+   35o D2  34 1.3
130302  4o 3+ 3- 1+  2o 3- 3o 3+   22+     14 0.8
130303  3- 3o 2+ 2-  2- 2- 2o 2+   17+      9 0.5
130304  2+ 1- 1+ 1+  2- 0+ 0+ 1-    9- Q0   4 0.2
130305  3- 0+ 0+ 0+  1- 1- 1o 1-    7- Q8   4 0.1
130306  1+ 2+ 0+ 0+  0+ 0o 0+ 0+    5+ Q7   3 0.1
130307  0+ 1- 1o 1o  1o 0o 0o 0+    4+ Q2   2 0.0
130308  0o 0o 0+ 0+  1- 1- 1+ 1-    4o Q1   2 0.0
130309  2+ 2o 1+ 2-  2o 1+ 2- 0+   13-      6 0.3
130310  1o 0o 1- 0+  0+ 1o 1o 2o    6+ Q6   3 0.1
130311  3o 2+ 1+ 0+  1- 0+ 0+ 0+    9-      5 0.2
130312  1+ 1o 1+ 1o  2+ 1+ 2o 1o   11+      5 0.2
130313  2o 1- 1o 1-  0+ 0+ 1- 1-    6+ Q5   3 0.1
130314  0o 1- 0o 1+  3- 2- 1- 1-    8-      4 0.1
130315  1- 3+ 2+ 2-  1o 0+ 0+ 1o   11-      6 0.3
130316  3+ 4- 3- 2o  2- 1+ 2- 1+   18-     10 0.6
130317  2o 2+ 7- 6+  6- 6+ 7- 6o   42o D1  72 1.8
130318  3o 2+ 2o 2-  1+ 1- 2- 1+   14o      7 0.4
130319  1+ 1+ 1- 0+  1- 1- 2- 3-    9+      5 0.2
130320  2o 3- 2- 1-  2o 2+ 3- 3+   17+      9 0.5
130321  4+ 4+ 4- 1o  1o 1- 1- 1o   17-     13 0.7
130322  1- 1- 0+ 1o  1o 1o 2o 2+    9o      4 0.2
130323  2- 1- 1+ 2-  3- 2- 3+ 4o   17o     10 0.6
130324  3o 1+ 1+ 1+  1+ 1+ 1o 0+   11o      6 0.3
130325  0o 0o 1- 1-  1- 1- 2- 1-    5o Q4   3 0.0
130326  1+ 1- 0+ 1-  1- 0+ 0+ 0o    4+ Q3   2 0.0
130327  2- 3- 3- 3o  3o 5o 3+ 4+   26- D4  20 1.0
130328  4o 2- 1o 2o  1+ 3o 2o 2+   17+     10 0.6
130329  3+ 4- 5- 4o  4- 5+ 4- 3o   31+ D3  28 1.2
130330  5o 5o 2+ 2-  2o 1o 3+ 2+   23- D5* 19 1.0
130331  1+ 1- 1- 0+  1- 1o 2- 2o    8+ Q9   4 0.1
1303                                  Mean 11 0.44

1303 Q  8   7  26  25  13  10   6   5  31   4 
1303 D 17   1  29  27  30*
