961101  2- 1- 0+ 0o  1- 1- 0+ 1-    5o Q4   3 0.0
961102  1o 1- 1- 0+  0o 0+ 0o 0+    3+ Q2   2 0.0
961103  0+ 0o 0o 0o  0o 0+ 1+ 2-    4- Q3   2 0.0
961104  3- 1+ 2o 3o  3o 2+ 2o 2+   19-     10 0.6
961105  2o 2+ 2o 1o  1o 2o 2- 2-   14-      6 0.3
961106  3- 3o 2o 2+  0+ 1+ 2- 2+   16-      8 0.4
961107  1o 2o 1+ 1o  0+ 1+ 1- 1o    9- Q8   4 0.1
961108  1- 2o 1o 1+  1- 1o 1- 0+    8- Q6   4 0.1
961109  1- 3- 2o 3-  3o 2o 4- 2+   19o     11 0.6
961110  4- 3- 2- 2o  2o 2o 2- 1-   16+      9 0.5
961111  1- 1- 1- 1-  0+ 2- 2o 1o    8- Q7   4 0.1
961112  3+ 2+ 3o 2o  2- 1o 0+ 2-   15+      8 0.5
961113  1+ 2+ 1o 2o  2o 3o 5o 4+   21o D2* 16 0.9
961114  5+ 2+ 2- 3+  3+ 3+ 4o 3o   26+ D1  21 1.1
961115  3o 2+ 2+ 4-  4o 4- 2+ 1o   22+ D3* 15 0.8
961116  1o 1+ 1+ 1+  1+ 1o 1o 1+   10- Q9   5 0.2
961117  2o 2o 3- 3-  1+ 1+ 4o 4o   20o D5* 13 0.7
961118  4- 4o 3- 3-  3o 3- 2+ 1+   22+ D4* 14 0.8
961119  3o 3o 2o 2-  2o 2- 2- 3o   18o     10 0.5
961120  2o 2- 2- 2-  1- 2o 3- 3+   16-      8 0.4
961121  3o 2+ 1o 1-  0+ 1o 1o 1+   11-      6 0.3
961122  2o 1o 1+ 1o  1+ 1+ 0+ 0+    9- Q0   4 0.1
961123  0+ 1+ 1+ 1o  0+ 1- 2- 1o    8- Q5   4 0.1
961124  0+ 1- 2- 3-  3- 3- 2- 5-   17o     12 0.7
961125  3- 3- 2+ 2o  1o 1o 1o 1o   14-      7 0.4
961126  2o 1+ 1- 1+  3- 2+ 1+ 2o   14-      7 0.3
961127  4o 4- 2+ 2o  1+ 1- 1- 1+   16o     10 0.6
961128  3- 3o 1o 2o  2- 2o 1+ 1-   14+      7 0.4
961129  1- 1o 0+ 1-  2- 2+ 2o 2-   10+      5 0.2
961130  1- 0+ 1- 0o  0o 0+ 0o 1-    3- Q1   2 0.0
9611                                  Mean  8 0.39

9611 Q 30   2   3   1  23   8  11   7  16  22 
9611 D 14  13* 15* 18* 17*
