130401  1o 2- 2- 1+  1o 1o 1- 2o   10+      5 0.2
130402  2o 0+ 0+ 0o  0+ 1- 1o 2-    6+ Q0   3 0.1
130403  0+ 0+ 0+ 0+  1- 0+ 0+ 1+    4o Q6   2 0.0
130404  2- 2o 1- 1o  1o 1- 1- 0+    8o      4 0.1
130405  0o 0+ 0+ 0+  1- 0+ 1+ 1+    5- Q7   3 0.0
130406  1+ 1+ 2- 1+  1+ 1- 1o 1+   10o      5 0.2
130407  1o 2- 1o 1o  2o 2- 1+ 0o   10-      4 0.2
130408  0o 0+ 1- 0+  1- 1- 0+ 0+    3+ Q2   2 0.0
130409  1+ 1+ 0+ 1+  0+ 1- 1- 0+    6+ Q8   3 0.1
130410  0+ 1o 1+ 1+  1+ 1- 1- 2+    9o      4 0.2
130411  0+ 0+ 1- 1+  1o 1+ 1- 2o    8-      4 0.1
130412  2o 2- 1+ 1o  1+ 1- 0+ 0+    9-      4 0.1
130413  2o 2+ 1- 1+  1- 1- 0+ 3o   11o      6 0.3
130414  3- 3+ 3+ 3-  2+ 3o 2- 2o   21o D3* 12 0.7
130415  1o 1+ 1o 0+  1o 0o 3o 2o   10-      5 0.2
130416  1o 0o 0o 0o  0o 1o 2- 2o    6-      3 0.0
130417  1- 1- 1- 0+  1- 0+ 0o 0+    4- Q4   2 0.0
130418  1o 0o 0+ 0+  0+ 0+ 1- 0o    3o Q3   2 0.0
130419  0o 0o 0o 0o  0+ 0o 0+ 0+    1o Q1   1 0.0
130420  0+ 0o 1- 1+  2o 1- 0o 1-    6- Q9   3 0.1
130421  0o 0+ 0+ 0+  0+ 1+ 1- 0+    4- Q5   2 0.0
130422  2- 2- 0+ 1-  1o 1o 0+ 1-    7+      4 0.1
130423  0+ 1o 1o 1+  1+ 2+ 2o 3-   12o D5*  6 0.3
130424  4- 3o 2+ 4o  5- 3+ 5o 3o   29o D1  24 1.2
130425  3o 2+ 1+ 3-  2+ 3- 3- 2-   19- D4* 10 0.6
130426  3o 5- 3o 3o  3- 3o 3- 3+   25+ D2* 18 1.0
130427  2+ 2o 2- 1o  1+ 2- 1- 1+   12o      6 0.3
130428  0+ 0o 0+ 2-  2+ 2o 2o 2o   11-      5 0.2
130429  3- 0+ 1- 0+  1o 0o 1- 1+    7o      4 0.1
130430  1+ 1- 1o 2-  2- 1+ 1- 3-   11o      6 0.2
1304                                  Mean  5 0.22

1304 Q 19   8  18  17  21   3   5   9  20   2 
1304 D 24  26* 14* 25* 23*
