010601  0+ 1- 1- 2+  3o 2+ 3- 4-   16-      9 0.5
010602  5+ 4o 3o 4o  3+ 2o 3- 3+   28- D3  22 1.1
010603  2- 2- 2+ 1o  1o 1+ 2+ 2o   13+ Q0   6 0.3
010604  3o 1+ 1+ 2-  2- 2+ 1+ 2o   15-      7 0.4
010605  2+ 2o 1+ 1-  1- 1- 1- 2-   10o Q7   5 0.2
010606  1+ 1o 1+ 1o  2+ 2+ 2o 2o   13+      6 0.3
010607  2o 3+ 1+ 3-  2+ 2- 2o 2-   17o      9 0.5
010608  1o 1+ 2- 2o  2- 2+ 2+ 3-   15o      7 0.4
010609  2- 3- 2+ 3+  3+ 4- 5o 6-   28- D2  25 1.2
010610  6- 3o 3+ 3o  2o 3- 3o 2+   25o D4  20 1.0
010611  3o 2o 1o 1+  2+ 2+ 2o 2-   16-      8 0.4
010612  2o 1o 1+ 1-  1- 1- 1+ 1+    9o Q3   4 0.2
010613  2+ 3- 3- 2o  2- 2- 2o 1+   16+      8 0.4
010614  2+ 1- 1- 1-  1- 1+ 1+ 4-   11+      7 0.3
010615  3o 3o 2- 2+  0+ 1- 1+ 0+   13-      7 0.4
010616  2o 1+ 2o 1-  1- 1- 2o 1-   10o Q6   5 0.2
010617  0+ 1- 2- 1+  4- 2+ 2- 1+   13o      7 0.4
010618  2o 4+ 5o 5o  5+ 4+ 4- 5-   34+ D1  36 1.4
010619  4- 2+ 1o 1+  1+ 3o 3+ 3+   19+     12 0.7
010620  2+ 3- 3+ 3+  3- 3- 1- 2-   19+     11 0.6
010621  2- 3- 3o 2o  2+ 4- 4- 2+   21+ D5* 13 0.7
010622  2o 1+ 0+ 1-  1o 1+ 1+ 2o   10o Q5   5 0.2
010623  1+ 1+ 1o 1o  1+ 1+ 1+ 1+   10o Q4   5 0.2
010624  2o 1+ 2- 2-  2o 3- 2- 2+   15+      7 0.4
010625  2- 2o 1+ 1o  2- 2o 1+ 1o   12o Q8   6 0.2
010626  1o 1+ 2- 2+  3+ 3+ 4o 3+   20+     13 0.8
010627  4- 3- 1+ 0+  0+ 1- 0o 0+    9+ Q9K  6 0.3
010628  0o 0+ 0+ 0+  0+ 0+ 0+ 1-    3- Q1   2 0.0
010629  0o 0o 0+ 1o  1- 1- 1o 2-    5+ Q2   3 0.0
010630  1+ 1+ 1- 2+  2o 1o 2+ 2+   13+      6 0.3
0106                                  Mean 10 0.47

0106 Q 28  29  12  23  22  16   5  25  27K  3 
0106 D 18   9   2  10  21*
