081201  0o 0o 0o 0o  0o 0o 0o 0o    0o Q1   0 0.0
081202  0o 0o 0o 0o  0o 0o 0o 0o    0o Q2   0 0.0
081203  1- 1- 1- 1-  1o 2- 1+ 2o    9-      4 0.1
081204  2o 3+ 2+ 2+  3- 2o 1o 1o   17- D5*  9 0.5
081205  1+ 2- 2- 4-  2o 4o 1+ 4-   19+ D3* 12 0.7
081206  4- 4+ 3+ 2+  2+ 4o 3o 2o   25o D1* 17 0.9
081207  2o 2+ 2+ 2+  2+ 2+ 1+ 1-   16-      8 0.4
081208  0+ 1+ 0o 0+  0+ 1- 1+ 0+    5-      3 0.0
081209  0o 0o 0o 0o  0+ 0+ 0+ 0+    1+ Q3   1 0.0
081210  0o 0o 0o 0+  1o 1o 2- 1+    5+      3 0.0
081211  2- 1+ 1+ 1-  1+ 2- 1o 1-   10-      5 0.2
081212  1o 0+ 0+ 1+  1o 1- 0+ 1-    6-      3 0.1
081213  1+ 1- 0+ 0+  0+ 0o 0+ 0o    3+      2 0.0
081214  1- 0o 0o 0o  0+ 0o 0o 0o    1o Q5   1 0.0
081215  1- 1+ 1- 0+  0o 0+ 0+ 1o    5-      3 0.0
081216  1- 1+ 1- 1o  2- 1+ 2+ 3-   12-      6 0.3
081217  3- 2+ 1+ 0+  2- 2o 1+ 1-   12+      6 0.3
081218  0o 0+ 0o 0o  0+ 1- 1- 1-    3- Q7   2 0.0
081219  1- 1- 0+ 1+  1+ 1+ 1- 1o    7+      4 0.1
081220  0+ 0o 1- 1-  1- 1- 0+ 0o    3+ Q9   2 0.0
081221  0+ 1o 1- 0+  0o 0o 0o 0o    2+ Q8   1 0.0
081222  0o 0+ 0o 0o  0+ 3+ 2+ 2-    8o      5 0.2
081223  2+ 3- 2- 2o  2o 3- 3o 4-   20o D4* 11 0.6
081224  3- 2+ 2- 2o  1o 2- 2o 1o   14+      7 0.3
081225  0+ 0+ 0o 1o  2o 1- 2- 1+    7+      4 0.1
081226  2- 0+ 0o 0o  0+ 0+ 1- 1-    4o      2 0.0
081227  1+ 0o 0o 0o  0+ 0+ 0+ 1-    3o      2 0.0
081228  1o 0o 0+ 1-  0+ 1- 0+ 0+    4- Q0   2 0.0
081229  0+ 0o 0o 0+  0o 0+ 0o 0+    1+ Q4   1 0.0
081230  0o 0o 0o 0o  0o 0o 0+ 1o    1+ Q6   1 0.0
081231  3o 3+ 3o 3+  2+ 2+ 3- 2+   22+ D2* 13 0.8
0812                                  Mean  4 0.18

0812 Q  1   2   9  29  14  30  18  21  20  28 
0812 D  6* 31*  5* 23*  4*
