090801  0o 1o 1- 1o  1o 1+ 0+ 1-    6o      3 0.1
090802  0+ 0+ 0o 0+  0+ 0+ 1o 2+    5o      3 0.1
090803  3- 2o 2o 1+  1+ 1o 2- 1-   13-      6 0.3
090804  1- 1o 1- 0+  1- 1o 1o 1o    6+      3 0.1
090805  1+ 1+ 1+ 2o  2o 1- 0+ 2-   11-      5 0.2
090806  2+ 3o 4o 1+  2+ 2o 2- 1+   18o D2* 10 0.6
090807  2- 2- 1- 1+  1o 3- 2o 3-   14-      7 0.3
090808  1o 1+ 0+ 0+  1- 1o 1- 0+    6-      3 0.1
090809  2o 2o 2o 2-  1+ 1- 1o 1+   12o      6 0.2
090810  2o 0o 0o 0+  1- 1o 1+ 1-    6o      3 0.1
090811  0+ 0+ 1o 0+  0+ 1- 1- 1+    5o Q0   3 0.1
090812  1- 1- 1o 1+  2- 0+ 1- 2-    8o      4 0.1
090813  2o 1- 1o 1o  1o 0+ 1- 0+    7o      4 0.1
090814  0+ 1o 1- 0+  0o 0+ 0+ 1o    4o Q8   2 0.0
090815  1- 0o 1o 0o  0+ 0o 0+ 0o    2+ Q3   1 0.0
090816  0+ 0+ 0+ 0+  0+ 0o 0+ 1-    3- Q1   2 0.0
090817  0o 0+ 0o 0+  1- 1- 1o 0+    3+ Q5   2 0.0
090818  1- 1- 0+ 0+  0+ 1- 1- 1o    5- Q9   3 0.0
090819  0+ 0+ 1- 2o  3o 2+ 3- 3o   14+ D4*  8 0.4
090820  3+ 4- 2o 2o  2- 1- 2- 2+   17+ D3* 10 0.5
090821  2- 1- 3- 1+  3- 2+ 1+ 2-   14+ D5*  7 0.4
090822  1o 2o 1o 1o  1o 1- 1+ 1o    9o      4 0.2
090823  1+ 2+ 1+ 1o  1- 0+ 1- 1-    8+      4 0.1
090824  1o 0+ 0o 0+  0+ 0+ 0+ 0o    3- Q2   2 0.0
090825  0+ 1o 0o 0+  1- 1- 0+ 1-    4o Q6   2 0.0
090826  2o 1o 2- 1o  0+ 0+ 0+ 0o    7-      3 0.1
090827  1- 1+ 1- 1o  1+ 3- 2+ 1o   11o      6 0.3
090828  1- 1+ 0+ 0o  0o 0+ 0+ 0+    3+ Q7   2 0.0
090829  0o 0+ 1o 1-  0+ 0+ 0+ 0o    3o Q4   2 0.0
090830  2o 1+ 3- 2o  3o 6- 4+ 3+   24+ D1  20 1.0
090831  2+ 1+ 1+ 1+  1+ 1+ 2- 1-   11+      5 0.2
0908                                  Mean  5 0.18

0908 Q 16  24  15  29  17  25  28  14  18  11 
0908 D 30   6* 20* 19* 21*
