011001  5o 6o 6- 6-  4+ 4o 3o 5o   39- D5  48 1.6
011002  4+ 5o 6- 4o  4- 4+ 6o 7-   40- D3  52 1.6
011003  5o 3+ 5o 7o  7- 7- 5- 5o   43+ D2  69 1.7
011004  4+ 2+ 4o 4-  3- 3+ 3- 2-   25-     17 0.9
011005  1- 1o 1o 2+  1+ 3o 3o 1+   14- Q0A  8 0.4
011006  2o 2o 2+ 3o  2o 0+ 2- 1-   14o      7 0.4
011007  0+ 0o 1- 1-  2- 0+ 0+ 2o    6o Q3   3 0.1
011008  2o 3- 2+ 2+  4- 4- 2+ 5-   24-     16 0.9
011009  4o 3o 3o 4+  4- 4- 1+ 1+   24+     18 1.0
011010  2- 2o 2o 2-  2+ 2o 2+ 1o   15o Q9A  7 0.3
011011  3- 3- 2- 1o  2+ 5o 5+ 3+   24o     21 1.1
011012  6o 6- 4- 3+  4o 4- 3+ 3o   33-     34 1.3
011013  3o 3o 3o 3o  2o 2+ 2o 1-   19o     11 0.6
011014  1+ 3- 3o 3-  2o 3- 4o 3o   21+     13 0.8
011015  3o 4- 2o 2+  2- 2o 1o 2-   17+     10 0.5
011016  3o 2o 2o 2-  2o 2- 2- 1+   15+      7 0.4
011017  2+ 1o 1+ 1o  1- 1- 0+ 1o    8+ Q4   4 0.1
011018  1- 0o 0+ 0+  1o 1+ 2- 1-    6o Q2   3 0.1
011019  1- 1o 1o 2-  3- 3+ 3o 2o   15+      9 0.5
011020  1o 3+ 3- 3+  3- 2+ 2o 2+   20-     11 0.6
011021  3o 3- 2o 1+  2o 6o 7+ 8-   32o D4  57 1.7
011022  7o 5- 4- 6o  6o 7+ 7o 7o   49- D1  96 1.9
011023  5+ 4+ 4- 2-  2o 1+ 1+ 1o   21-     17 0.9
011024  1- 0+ 1- 0+  0o 0+ 0+ 0o    3- Q1   2 0.0
011025  0o 1- 3o 2+  1o 2o 2+ 2o   13+ Q7A  7 0.3
011026  1- 1- 1+ 2-  0+ 1o 2- 2o    9+ Q5   4 0.2
011027  1+ 3- 1- 2-  2+ 1o 1- 1-   11o Q6   6 0.3
011028  3- 7- 6- 5-  5o 3+ 4o 4o   36o     44 1.5
011029  3+ 3o 3o 3-  3- 3o 3- 3o   23+     14 0.8
011030  2+ 3o 2+ 2o  1o 1+ 1- 1+   14o Q8A  7 0.4
011031  1+ 0+ 1+ 0+  3o 3- 4o 4+   17+     12 0.7
0110                                  Mean 20 0.76

0110 Q 24  18   7  17  26  27  25A 30A 10A  5A
0110 D 22   3   2  21   1 
