980201  2o 3- 3- 3o  1- 0+ 2o 3-   16o      9 0.5
980202  1o 1+ 1o 1o  0+ 0o 0o 1-    5+ Q6   3 0.0
980203  0o 0o 0o 0o  2- 2o 1o 1+    6o Q9   3 0.0
980204  3+ 3o 2+ 2o  2o 2- 1- 0o   15o      8 0.4
980205  0o 1+ 0o 1-  1+ 1o 1- 1o    6o Q8   3 0.1
980206  1o 1- 1- 0+  0+ 1o 1- 0o    5- Q2   3 0.0
980207  0o 1o 1- 0+  0+ 0+ 1o 1o    5- Q4   3 0.0
980208  1- 1o 0+ 1o  1+ 1+ 3+ 4o   13o      8 0.5
980209  4o 3o 2- 2+  3o 2o 2+ 2-   20o D5* 12 0.7
980210  3+ 2+ 2+ 1+  2- 2- 2- 2+   17-      8 0.5
980211  3+ 3o 1o 2o  3+ 4+ 3+ 4o   24+ D2* 17 0.9
980212  4- 2- 2- 2+  2+ 2+ 3- 2o   19-     10 0.6
980213  2- 2- 2- 1o  2- 2- 3- 1+   13+      6 0.3
980214  1- 0+ 2- 1+  1- 1o 2+ 3o   11o      6 0.3
980215  3- 2o 0+ 1-  0o 0o 0o 0o    6- Q0   3 0.1
980216  0+ 1- 1- 0+  0+ 1o 1- 1o    5o Q3   3 0.1
980217  0+ 1- 1- 1+  3o 3+ 4o 6-   19o D3* 18 1.0
980218  7- 5+ 4o 3+  3o 4o 4- 3-   33- D1  36 1.4
980219  1o 1o 1o 2o  1- 1+ 2+ 2+   12-      6 0.3
980220  4o 2- 2- 1+  1- 2- 3- 2o   16-      9 0.5
980221  2o 0+ 0+ 1-  1- 1o 2o 2-    9-      4 0.1
980222  2- 2- 2- 2+  1+ 3- 2+ 0+   14o      7 0.3
980223  2- 2+ 2o 2-  2+ 2+ 3o 3-   18o      9 0.5
980224  1+ 0+ 1o 1-  1- 1- 0o 1o    6- Q5   3 0.1
980225  0o 0+ 1o 1-  0+ 1o 2- 1-    6- Q7   3 0.1
980226  0+ 0o 0+ 0+  0+ 0+ 1o 1-    3+ Q1   2 0.0
980227  0+ 0o 2+ 1+  1+ 1+ 2o 1o   10-      5 0.2
980228  1+ 2o 2+ 2-  3+ 3+ 2+ 5o   21+ D4* 15 0.8
9802                                  Mean  8 0.37

9802 Q 26   6  16   7  24   2  25   5   3  15 
9802 D 18  11* 17* 28*  9*
