141201  2- 2+ 2o 1+  1+ 2+ 2+ 4-   17o      9 0.5
141202  3o 3o 3- 1+  3- 2+ 3o 1+   19+     11 0.6
141203  3- 2- 1- 1+  1+ 2- 3- 2o   14o Q6A  7 0.4
141204  2+ 2- 1- 1-  2o 3- 2o 4-   16-      9 0.5
141205  3- 3o 2o 2+  3+ 2+ 1o 2o   19-     10 0.6
141206  2o 2o 2+ 2+  2- 2o 4- 4-   20-     11 0.6
141207  5- 2+ 3- 3+  5- 4+ 4o 4o   30o D1  25 1.2
141208  3+ 3- 2+ 2+  3o 4o 3- 3-   23o     14 0.8
141209  4o 2+ 2+ 2+  3o 2+ 4- 3o   23o     14 0.8
141210  3+ 2+ 2+ 2+  1o 1- 1+ 1+   15- Q0A  8 0.4
141211  1+ 0+ 1- 0o  1- 1o 2- 2+    8o Q1   4 0.1
141212  3o 3- 3+ 3o  4+ 3o 4- 3+   26+ D3* 18 1.0
141213  2- 2+ 1+ 1o  3- 2o 2+ 3-   16o      8 0.4
141214  2o 3o 2- 2o  2+ 3- 3+ 2-   19-     10 0.6
141215  2- 3- 3o 3+  3+ 3- 3- 3+   23-     14 0.8
141216  1o 1+ 1o 1+  3- 2o 2- 2+   13+ Q4   6 0.3
141217  3- 2+ 1+ 1o  1- 1+ 1+ 1-   11+ Q3   6 0.3
141218  1o 1+ 1- 1-  1+ 2+ 1+ 2o   11- Q2   5 0.2
141219  3- 2- 2+ 1+  1o 2+ 2o 2o   15+ Q8A  7 0.4
141220  3- 2+ 2- 1+  2- 2- 1- 2+   14+ Q7A  7 0.4
141221  3- 3- 2+ 2o  3- 2o 3+ 4-   21+     12 0.7
141222  5o 5+ 3+ 2o  1o 3- 1o 1+   22- D5* 19 1.0
141223  1- 0o 1- 4o  2o 2o 3o 4o   16+     11 0.6
141224  4o 2+ 2o 2o  4- 3o 3+ 3+   24-     15 0.9
141225  2- 2- 1+ 1-  3o 3- 3+ 4-   18o     11 0.6
141226  4o 4o 2+ 2o  2- 2o 5- 3-   23+ D4* 17 0.9
141227  3+ 2o 1+ 2-  2- 1o 0+ 0+   12- Q5K  6 0.3
141228  2+ 2o 1+ 1+  1+ 2- 4- 2+   16o      8 0.5
141229  2o 3o 2+ 3+  4- 5- 3+ 5-   27o D2  21 1.1
141230  3o 4o 4- 2o  3o 3- 3- 2+   23+     15 0.8
141231  1+ 2+ 1+ 2-  2o 3+ 1+ 2-   15o Q9A  8 0.4
1412                                  Mean 11 0.60

1412 Q 11  18  17  16  27K  3A 20A 19A 31A 10A
1412 D  7  29  12* 26* 22*
