150701  1+ 1o 1- 1+  2o 2- 1- 0o    9-      4 0.1
150702  0+ 0+ 0+ 1-  0+ 0+ 0+ 0+    3o Q2   2 0.0
150703  0o 0+ 1- 0+  1- 1- 0+ 0+    3+ Q3   2 0.0
150704  0+ 1+ 0+ 1o  3+ 3o 5+ 5o   20- D5* 19 1.0
150705  5+ 5o 2+ 3+  3- 2+ 3- 3-   26+ D3  22 1.1
150706  3+ 4- 3- 1+  1+ 1o 2+ 1o   17-     10 0.6
150707  2o 1- 1- 1+  1o 1- 1o 2-    9o Q0   4 0.2
150708  1- 1o 1o 1-  1o 1o 1+ 1o    8- Q6   4 0.1
150709  1- 2- 1- 1-  1o 1o 1o 1o    8- Q8   4 0.1
150710  1- 1- 0+ 0+  0+ 1o 2+ 5-   10+      8 0.4
150711  4+ 5- 4o 4-  3o 3- 4- 3o   29o D2  23 1.1
150712  3o 2+ 2+ 3o  2+ 3- 3o 3o   22-     12 0.7
150713  3o 5o 5- 4+  3+ 4o 6- 3o   33o D1  33 1.3
150714  3o 1+ 1o 1-  1o 1o 2- 1+   11o      6 0.3
150715  1o 2o 1o 1o  2o 2- 1+ 2+   12+      6 0.3
150716  3o 2- 2o 2-  2- 2- 1o 1o   14-      7 0.3
150717  1+ 1+ 1o 1o  1o 1+ 0+ 0+    8- Q7   4 0.1
150718  0o 1- 0o 1-  1- 0+ 1+ 0+    4o Q4   2 0.0
150719  0o 0+ 0+ 1-  0+ 0+ 0+ 0o    2+ Q1   2 0.0
150720  0o 0+ 1- 1+  1o 0+ 1- 1-    5o Q5   3 0.0
150721  2+ 2o 2+ 2o  2o 1o 2+ 2o   16o      7 0.4
150722  1- 0+ 1- 2-  2o 3o 2+ 1+   12o      6 0.3
150723  3- 4o 5+ 3-  3- 3- 4- 3-   26+ D4  21 1.1
150724  2- 1o 1o 1-  2o 1+ 1+ 2-   11-      5 0.2
150725  2+ 1o 3- 2+  1+ 1o 2- 2+   15-      7 0.4
150726  3- 1o 1- 2+  1- 1+ 2+ 2-   13-      6 0.3
150727  2o 2- 3- 3o  3- 1+ 2- 2-   17-      9 0.5
150728  1+ 2+ 2- 2o  3o 1+ 2- 1+   15-      7 0.4
150729  1+ 1+ 1o 1o  1+ 1o 2- 1-    9+ Q9   4 0.2
150730  2- 2- 1o 1o  2o 3o 4+ 3+   18o     12 0.7
150731  3- 2+ 1+ 2o  3+ 4- 3+ 3o   22-     13 0.8
1507                                  Mean  9 0.42

1507 Q 19   2   3  18  20   8  17   9  29   7 
1507 D 13  11   5  23   4*
