940501  0+ 2o 3o 3o  4+ 6- 7o 7o   32+     50 1.6
940502  6- 6o 4+ 3o  3+ 3+ 5o 7-   37+ D1  49 1.6
940503  5+ 6+ 5o 4-  5- 5- 4+ 3+   37+ D3  44 1.5
940504  4o 4o 3+ 3-  5- 4+ 4- 4o   31-     26 1.2
940505  4+ 5- 5- 4-  5- 6- 5- 5-   37o D4  40 1.4
940506  5- 5o 5- 4-  3o 4- 4o 6o   35-     36 1.4
940507  6o 5- 5+ 5-  4o 3+ 4+ 4-   36o     39 1.4
940508  4+ 5- 5o 5-  4o 4o 5o 5-   36+     37 1.4
940509  4- 5- 4- 4o  4- 4+ 4o 3+   31+     26 1.2
940510  4+ 4o 5+ 3o  4o 4o 5- 5-   34o     33 1.3
940511  4+ 4+ 3+ 3+  4- 5- 3+ 4o   31o     26 1.2
940512  4- 4o 3- 2-  1o 1+ 1- 3-   18- Q9A 11 0.7
940513  3- 3- 2o 1o  1- 1+ 1o 2o   13+ Q5A  7 0.3
940514  2+ 5- 5- 3-  3+ 3+ 3- 4o   28-     22 1.1
940515  3+ 4- 5o 6-  4+ 4o 5- 4+   35o     36 1.4
940516  4+ 4- 4- 4o  5- 5o 4+ 3-   32+     29 1.3
940517  4o 3o 3o 3+  2+ 3o 3- 2+   24- Q0A 15 0.8
940518  4- 4o 3o 3-  4- 3o 2o 4o   26o     18 1.0
940519  3- 3+ 3o 3o  3- 2- 1- 1o   18o Q8A 11 0.6
940520  2- 2+ 2- 1+  2- 2o 1- 1o   12+ Q3   6 0.3
940521  1- 1- 1- 2-  2+ 2- 1+ 1o   10o Q2   5 0.2
940522  1- 1o 1- 1+  2o 2o 3- 2+   13- Q4   6 0.3
940523  1o 1+ 1- 2+  2+ 3- 2- 3o   15o Q6A  8 0.4
940524  4- 5- 3+ 3o  3- 3+ 3+ 3o   27o     20 1.0
940525  4- 5- 3o 3+  2- 3o 2o 4o   25+     19 1.0
940526  1+ 2+ 3+ 3+  2+ 2- 1+ 2+   18o Q7A 10 0.6
940527  2o 1+ 0+ 1-  1o 2o 1o 1o    9+ Q1   4 0.2
940528  0+ 0+ 1- 2o  5- 7o 7- 5+   27o     44 1.5
940529  5+ 5+ 4- 5o  5- 5+ 4- 4o   37o D5  41 1.5
940530  5- 6o 4+ 4+  5+ 5+ 5o 6-   41- D2  51 1.6
940531  4- 5o 4o 4-  4- 3- 5o 4+   32o     29 1.3
9405                                  Mean 26 1.04
