160201  3- 4- 2+ 2+  0+ 0+ 0o 0o   12-      7 0.4
160202  0o 0o 1o 1-  1+ 2o 2o 3-   10- Q0   5 0.2
160203  4o 5- 3- 1o  1- 1o 1- 0+   15o     12 0.7
160204  0+ 0+ 1+ 2-  2+ 2- 1+ 1-   10- Q7   5 0.2
160205  3- 3+ 2+ 2+  2o 2o 2+ 2o   19o     10 0.5
160206  2- 2+ 1+ 1+  1+ 2- 2- 2+   14-      6 0.3
160207  2o 0+ 1o 1+  2o 4- 2o 2o   14+      8 0.4
160208  5o 4+ 4+ 2-  1+ 1o 1o 0+   19o D4* 17 0.9
160209  2o 1o 1+ 3o  3- 1+ 1+ 3-   15+      8 0.4
160210  3- 1+ 1o 1-  0+ 0+ 1- 1o    8o Q6   4 0.2
160211  2o 2o 2o 1+  2- 2+ 2- 3+   16+      8 0.4
160212  3+ 2+ 2o 4-  3o 2+ 2o 2o   21-     12 0.7
160213  2o 3- 3o 2-  1o 1o 1- 1-   13-      7 0.3
160214  2+ 3- 2o 2+  2+ 3o 2- 1o   17+      9 0.5
160215  2+ 2+ 3o 2-  2- 1o 1o 4+   17+     11 0.6
160216  4o 3- 3+ 5-  5+ 5o 5+ 5-   35o D1  37 1.4
160217  5o 3+ 4+ 3o  4o 4- 5- 6-   34- D2  34 1.3
160218  4+ 5o 4o 4+  3o 3+ 5- 3+   32o D3  29 1.3
160219  3o 3+ 2+ 3+  3o 4- 4- 2o   24+ D5* 16 0.9
160220  2+ 2o 2o 1-  1o 1- 0+ 0+    9+ Q9   5 0.2
160221  1o 2- 1- 0o  1- 1- 2- 2-    8o Q4   4 0.1
160222  0o 0o 0o 1-  1o 1o 1- 1o    4+ Q1   2 0.0
160223  2+ 1- 0+ 0+  1- 1- 2- 3o   10-      5 0.2
160224  3- 2- 1+ 1o  2+ 1o 1+ 2-   13o      6 0.3
160225  2- 2- 2- 1o  1o 1- 1- 2o   10+ Q8   5 0.2
160226  4- 3- 2- 1o  1+ 1- 1o 0o   12o      7 0.4
160227  0o 1+ 1+ 1o  0+ 0+ 1- 1-    6- Q3   3 0.1
160228  1o 0o 1+ 1o  1o 0+ 0+ 1-    6- Q2   3 0.1
160229  2o 0o 1- 1o  1o 0+ 0+ 2o    7+ Q5   4 0.1
1602                                  Mean 10 0.46

1602 Q 22  28  27  21  29  10   4  25  20   2 
1602 D 16  17  18   8* 19*
