100101  0o 0o 0o 0o  0o 0o 0o 1o    1o Q0   0 0.0
100102  0o 0o 0+ 0+  0o 0+ 0+ 0+    2- Q4   1 0.0
100103  0+ 1+ 1- 2o  2- 1- 0o 0+    7o      4 0.1
100104  0+ 0o 1+ 1o  0+ 0o 0+ 0o    3+      2 0.0
100105  0o 0o 0o 0o  1- 1o 0+ 0o    2o      1 0.0
100106  1- 0+ 0+ 0+  0o 0o 0o 0o    2- Q7   1 0.0
100107  0o 0o 0o 0o  0o 0o 1- 0o    1- Q2   0 0.0
100108  1- 0o 0+ 0o  0o 0+ 0o 0o    1+ Q5   1 0.0
100109  0o 0o 0o 0+  0+ 0+ 0o 0+    1+ Q3   1 0.0
100110  0o 0o 1- 1o  1+ 2- 1- 0o    5+      3 0.0
100111  1- 2- 2+ 2+  2+ 2- 1o 1o   13o D3*  6 0.3
100112  1+ 2o 1- 0+  0o 0o 2- 2-    8-      4 0.1
100113  3o 2+ 1+ 1-  1o 2- 1+ 2+   14- D2*  7 0.4
100114  2- 2- 0o 1+  1+ 1- 1+ 1-    9-      4 0.1
100115  1o 0+ 0+ 0+  0+ 1o 2o 2+    8-      4 0.1
100116  0+ 0o 0o 1-  0+ 0o 0o 0+    2- Q8   1 0.0
100117  0o 0+ 0o 0+  0+ 0o 0o 0o    1o Q1   1 0.0
100118  0o 1o 0+ 0+  1- 1+ 1- 1-    5o      3 0.0
100119  1- 0o 0o 0o  0+ 0+ 0o 0+    2- Q9   1 0.0
100120  1- 0o 1+ 1-  2+ 4o 4o 4-   17- D1* 12 0.7
100121  2o 3- 2+ 1o  1o 0+ 0o 0+   10- D4*  5 0.2
100122  1o 2- 0o 1-  1- 0+ 1- 1o    6o      3 0.1
100123  2+ 1+ 1o 2o  2- 0+ 0+ 1o   10o      5 0.2
100124  1o 1+ 1+ 2-  1+ 1o 1- 0+    9-      4 0.1
100125  1- 1- 1+ 0+  1+ 0o 0+ 1+    6o      3 0.1
100126  2o 1+ 0+ 0+  0+ 0+ 1- 1-    6o      3 0.1
100127  0o 0o 0+ 0+  0o 0o 0o 1-    1+ Q6   1 0.0
100128  1- 0+ 0o 0+  1o 1+ 2- 0+    6-      3 0.1
100129  1- 0+ 0o 1-  0o 0o 0o 1-    2+      1 0.0
100130  2o 2o 1o 0+  1o 1o 1+ 2o   11- D5*  5 0.2
100131  2+ 1o 0+ 1-  1o 1- 1+ 1o    8+      4 0.1
1001                                  Mean  3 0.10

1001 Q 17   7   9   2   8  27   6  16  19   1 
1001 D 20* 13* 11* 21* 30*
