040501  4- 2+ 2+ 2-  2o 2o 2- 2+   18o      9 0.5
040502  3o 1- 1- 2+  1o 1o 2o 1+   12o Q0K  6 0.3
040503  1o 2- 2o 1+  1o 2o 2+ 2+   14-      6 0.3
040504  2o 2+ 2o 1o  2- 1o 2o 3o   15o      7 0.4
040505  2+ 3o 3- 2+  3- 4o 3+ 3-   23o D3* 14 0.8
040506  2- 2+ 2o 2-  2o 1+ 3- 3-   16+      8 0.4
040507  3o 4o 3o 2+  3- 3o 4- 3o   25- D1* 16 0.9
040508  3- 3- 2- 2o  2+ 2o 2o 2o   17+      8 0.5
040509  2o 2+ 1o 1-  2- 1+ 0+ 1o   10+ Q7   5 0.2
040510  2- 2o 1o 1-  1o 1o 2- 3-   12- Q9   6 0.3
040511  4- 3o 1o 1o  1o 1+ 3+ 4o   18+     12 0.7
040512  4o 5- 2- 1+  1o 1+ 2o 1+   17+     12 0.7
040513  1+ 2+ 4+ 2-  2- 2- 3+ 3-   19o     12 0.7
040514  2- 2+ 1o 0+  1+ 1o 2- 2-   11o Q8   5 0.2
040515  3+ 2o 2- 2-  1+ 1- 1- 2o   13+      7 0.3
040516  2- 1o 1o 1-  1- 1- 1- 2-    8o Q5   4 0.1
040517  1o 1o 0+ 1-  1- 1- 1o 2o    7+ Q3   4 0.1
040518  1+ 1- 1o 1+  1+ 1- 1- 0+    7+ Q2   4 0.1
040519  1- 1o 1- 1+  4- 4- 2+ 2o   15+      9 0.5
040520  2- 2- 3- 4+  2- 2+ 3o 3+   21- D4* 13 0.7
040521  4- 2o 2- 1+  1+ 2o 1+ 0+   14-      7 0.4
040522  1+ 3- 3+ 2o  1+ 1+ 1- 1+   14o      8 0.4
040523  3o 3- 2- 2o  3- 2+ 3o 3-   20o     11 0.6
040524  3+ 2o 3+ 2+  3+ 1+ 1+ 1o   18o     10 0.6
040525  2- 1o 2- 1+  1+ 1o 1- 1-    9+ Q6   4 0.2
040526  1- 1- 1- 1-  1o 1o 0+ 1+    6+ Q1   3 0.1
040527  1+ 1o 2- 1o  0+ 1- 1o 1-    8- Q4   4 0.1
040528  1o 0+ 1o 1o  2+ 2+ 3- 3-   13+      7 0.4
040529  3o 3+ 2+ 4-  2+ 3o 2+ 4-   24- D2* 15 0.8
040530  2o 2- 1+ 3o  3- 2o 3+ 4-   20-     12 0.7
040531  4+ 2+ 2+ 3-  3- 2- 3- 2o   21- D5* 12 0.7
0405                                  Mean  8 0.44

0405 Q 26  18  17  27  16  25   9  14  10   2K
0405 D  7* 29*  5* 20* 31*
