970501  3+ 1+ 2- 1o  3+ 5- 5o 6+   27- D2  29 1.3
970502  5o 3- 3- 2-  3- 2+ 1+ 3-   21o D4* 14 0.8
970503  2o 2- 2- 1+  3- 3- 3o 2-   17-      9 0.5
970504  2+ 2+ 2- 1o  1+ 2o 3o 2-   15+      8 0.4
970505  3o 2o 1o 1+  1+ 1o 1+ 2-   13-      6 0.3
970506  1+ 1- 1o 1-  1+ 1+ 1- 1-    8-      4 0.1
970507  1o 1- 1+ 0o  0+ 0+ 1- 2-    6o Q8   3 0.1
970508  1+ 1o 0+ 1-  1- 1o 1- 2-    7+ Q0   4 0.1
970509  1+ 1+ 1+ 1-  1- 0+ 0+ 0+    6+ Q7   3 0.1
970510  1+ 1+ 1+ 1-  1+ 1- 1- 1+    9-      4 0.1
970511  2+ 2- 2- 2-  1+ 0+ 0o 0o    9o      4 0.1
970512  0o 1- 0o 0o  0+ 0+ 0o 0o    1+ Q1   1 0.0
970513  1- 0+ 0+ 0+  0+ 0o 1- 0+    3o Q2   2 0.0
970514  1- 0o 0o 1-  1o 3- 3- 3-   10+      6 0.3
970515  4o 3+ 7- 7-  6+ 5+ 3o 3o   38+ D1  56 1.6
970516  2o 2+ 2o 1+  4- 3+ 1o 3-   18+ D5* 10 0.6
970517  4- 3- 0+ 2+  2- 1+ 2+ 2+   17-      9 0.5
970518  1o 1+ 1+ 1-  1+ 1o 1+ 2o   10o      5 0.2
970519  1- 1- 1- 1-  1- 1- 0+ 0+    5- Q5   3 0.0
970520  1o 1+ 2o 1-  1- 1o 0+ 0+    7+      4 0.1
970521  0o 1- 1o 1o  1o 1o 1+ 1o    7o Q9   4 0.1
970522  1o 0+ 0o 0+  0+ 1+ 1o 1+    6- Q6   3 0.1
970523  0o 0+ 1- 1-  1- 1- 1- 1-    4+ Q3   2 0.0
970524  1+ 1o 1+ 2o  2+ 2o 2+ 2o   14+      7 0.3
970525  2- 2o 1+ 1-  1o 1+ 1o 0+    9+      4 0.2
970526  0+ 0+ 0o 1+  3- 3- 3o 3+   14-      8 0.4
970527  4o 6o 4o 2o  2o 1+ 1+ 2+   23o D3  21 1.1
970528  2- 1o 1+ 2o  2+ 1- 0+ 1-   10o      5 0.2
970529  1- 0+ 0+ 0+  0+ 0+ 0+ 1+    4o Q4   2 0.0
970530  1o 1- 1o 1-  2o 2o 2o 3-   12o      6 0.3
970531  2o 1+ 1- 1+  2o 3- 3- 3-   15+      8 0.4
9705                                  Mean  8 0.33

9705 Q 12  13  23  29  19  22   9   7  21   8 
9705 D 15   1  27   2* 16*
