141001  4o 2+ 3- 2+  2- 2+ 2- 2o   19o     11 0.6
141002  2o 2+ 2- 1+  2- 2o 1+ 2+   15-      7 0.3
141003  2+ 0+ 1o 0+  0+ 1o 1- 0+    6+ Q2   4 0.1
141004  1+ 2- 2o 1o  1- 0+ 1o 2-   10- Q4   5 0.2
141005  2- 2- 1+ 1-  2- 2- 1+ 1o   11o Q5   5 0.2
141006  3- 2o 0+ 1-  1- 0+ 1o 3-   10+ Q8K  6 0.3
141007  2o 3o 0+ 0+  1- 1- 0+ 1o    8+ Q6K  5 0.2
141008  1o 1+ 1+ 3o  2o 2- 2o 3-   15o      8 0.4
141009  3+ 4o 4- 2+  2o 2- 2o 2o   21o     13 0.7
141010  3- 3+ 1+ 0+  1- 1o 1+ 2-   12+      7 0.3
141011  2- 3- 3- 2+  3o 1+ 1- 0+   15-      8 0.4
141012  0o 0o 0+ 1o  1+ 1- 1+ 1-    5+ Q1   3 0.0
141013  1o 0+ 1+ 0o  1o 2o 3- 3-   11o Q9K  6 0.3
141014  1- 1o 1- 2-  3+ 4+ 4+ 5o   21o D2* 18 1.0
141015  4o 3o 2o 1+  2- 1o 0+ 1-   14o      9 0.5
141016  2- 1o 1- 2-  2- 2- 2- 3o   13o Q0K  6 0.3
141017  1+ 3- 1- 2-  1+ 1o 1+ 3o   13o      7 0.3
141018  3+ 3o 2+ 2+  3o 4o 2+ 3o   23+ D4* 15 0.8
141019  3o 3+ 2+ 2o  2- 1- 2+ 1+   17-      9 0.5
141020  3o 3o 4o 4-  3+ 5o 4o 4-   30- D1  24 1.2
141021  3o 2+ 3o 3o  3+ 3o 4- 2+   24- D3* 15 0.8
141022  4- 3o 3- 2+  3- 4- 2+ 2-   22o D5* 13 0.8
141023  1+ 2o 2o 2o  2+ 2- 3+ 2o   17-      8 0.4
141024  3o 1- 2- 2o  2o 4- 2o 2-   17-      9 0.5
141025  3o 2+ 2- 2-  2o 3o 2o 1o   17-      9 0.5
141026  3o 3- 3o 3o  2+ 2o 2o 1o   19o     10 0.6
141027  3- 2+ 2o 3-  2o 3- 2o 4o   20+     12 0.7
141028  4- 3- 2+ 3o  3- 3- 2+ 1o   20+     12 0.7
141029  3+ 2+ 2o 2-  1o 2o 2- 0o   14o      7 0.4
141030  0+ 1- 1- 1+  1- 1o 1+ 2o    8o Q3   4 0.1
141031  1- 2o 1+ 1+  2o 1- 2+ 1+   12- Q7   6 0.2
1410                                  Mean  9 0.46

1410 Q 12   3  30   4   5   7K 31   6K 13K 16K
1410 D 20  14* 21* 18* 22*
