070501  2+ 3- 2+ 1-  1o 2- 1+ 2-   14-      7 0.3
070502  1o 1o 0o 0+  0+ 1- 0o 0+    4- Q3   2 0.0
070503  1- 0+ 1+ 1-  1o 2- 1+ 1-    8-      4 0.1
070504  1o 0+ 0o 1o  1- 0+ 1o 0o    4+ Q7   2 0.0
070505  1- 1- 1- 0+  0o 0o 0o 1-    3o Q2   2 0.0
070506  0+ 0o 0o 0o  0o 0+ 0+ 1-    2- Q1   1 0.0
070507  1- 1o 3o 2+  3o 5o 3o 3+   21+ D4* 16 0.9
070508  2+ 4o 3+ 2+  3o 2+ 3- 2+   22+     14 0.8
070509  1+ 1+ 2- 1+  1+ 1+ 1o 1o   10+      5 0.2
070510  1- 0o 0o 0+  0+ 1o 2+ 1o    6-      3 0.1
070511  0+ 0+ 0o 0+  1o 1- 1o 1-    4+ Q6   2 0.0
070512  1- 1o 0+ 1o  0+ 0+ 0o 0+    4o Q4   2 0.0
070513  0+ 1+ 1- 1-  0+ 0+ 0o 0o    4- Q5   2 0.0
070514  0+ 0+ 0+ 1o  0+ 1- 1+ 0+    5- Q8   3 0.0
070515  1o 1- 1o 1+  1+ 1- 1+ 1+    9-      4 0.1
070516  0+ 1o 1- 1-  1- 0+ 1- 1+    6- Q9   3 0.1
070517  1o 1o 1- 1-  1o 0+ 2- 3-    9o      5 0.2
070518  2+ 2- 4- 4o  4+ 3o 2+ 3-   24o D3* 16 0.9
070519  2o 2+ 3o 3-  3- 3- 3+ 2+   21o     12 0.7
070520  3- 2- 1+ 1+  1o 1o 1+ 2+   13-      6 0.3
070521  2+ 1o 0o 0+  0+ 1o 2- 3o   10-      5 0.2
070522  1o 1o 1+ 1+  3o 3o 4+ 4o   19o     13 0.8
070523  4+ 3o 5- 5+  4o 2+ 5o 5o   34- D1  34 1.4
070524  6- 3+ 3+ 2+  4o 4o 5- 5-   32o D2  30 1.3
070525  2- 2+ 3o 3o  3- 3+ 4o 2+   22+ D5* 14 0.8
070526  3o 4- 2+ 3o  3o 3o 2+ 2o   22+     13 0.8
070527  2+ 2o 3- 3o  2+ 3o 2+ 2-   19+     10 0.6
070528  2+ 2- 1o 1o  1o 0o 0+ 1-    8o      4 0.1
070529  0+ 1o 1o 1-  1o 2- 1o 1o    8-      4 0.1
070530  1+ 1o 1- 1-  1- 1- 0+ 0+    6- Q0   3 0.1
070531  1- 0+ 0+ 0+  0+ 1- 1+ 2o    6o      3 0.1
0705                                  Mean  8 0.35

0705 Q  6   5   2  12  13  11   4  14  16  30 
0705 D 23  24  18*  7* 25*
