010101  0o 0+ 1o 1o  0+ 0+ 1- 1-    4+ Q1   2 0.0
010102  1+ 0+ 0o 0o  1- 0+ 1o 3-    6+ Q4   4 0.1
010103  2+ 4- 2+ 2+  2+ 1- 1- 1o   15+      8 0.5
010104  2+ 1+ 3o 2+  3o 3o 2+ 2+   20-     11 0.6
010105  2- 1- 1- 0+  1- 0+ 1+ 3o    9- Q9K  5 0.2
010106  2o 1o 1o 1-  1o 1o 0+ 1o    8o Q3   4 0.1
010107  2o 2- 1+ 1-  0+ 1o 1o 2o   10o Q8   5 0.2
010108  2o 2o 1o 2-  1o 2o 4o 4-   17+     10 0.6
010109  2o 1- 1o 2-  2- 1o 1+ 1+   11- Q0   5 0.2
010110  0+ 0+ 0+ 0+  1o 3o 2o 2+   10-      5 0.2
010111  2- 0+ 1- 1o  2- 3- 3- 3-   13+      7 0.4
010112  3+ 3o 3- 2-  1o 0+ 0o 0+   12+      7 0.4
010113  1o 1o 2- 2+  3- 1+ 1- 1+   12o      6 0.3
010114  2+ 3- 2+ 2-  1o 1o 2+ 2o   15+      8 0.4
010115  1- 0o 1+ 2o  2+ 1+ 2- 3o   12+      6 0.3
010116  1o 0+ 1+ 1+  3o 2- 1o 1o   11-      6 0.3
010117  3o 2- 1- 0+  1+ 2+ 2o 1+   13-      6 0.3
010118  0o 0o 1+ 2o  1+ 1- 1o 2o    8+ Q6   4 0.1
010119  2- 1+ 0+ 0o  1o 1o 1+ 2o    9- Q5   4 0.1
010120  1- 1- 3- 2+  2+ 2+ 3- 3+   17o      9 0.5
010121  2+ 3- 3- 4o  3+ 4- 4- 4o   26+ D2* 19 1.0
010122  4- 3+ 2+ 2+  2+ 3- 2o 3-   21+     12 0.7
010123  2o 2- 0+ 4o  3o 3+ 5- 4o   23o D4* 18 1.0
010124  3- 3o 1o 3+  4o 4o 5- 3o   26- D1  20 1.0
010125  2- 1+ 1- 1-  0+ 2- 3- 2o   11o      6 0.2
010126  2o 2+ 4- 3-  2o 2o 2+ 3-   20-     11 0.6
010127  2+ 2o 1o 1-  1- 1- 1- 1-    9- Q7   4 0.2
010128  0+ 1o 1+ 2-  3o 2o 3o 3-   15o      8 0.4
010129  5- 5o 2o 1+  1o 1o 2+ 3-   20o D5* 16 0.9
010130  2o 2o 0+ 0+  0+ 1- 0o 0o    6- Q2   3 0.1
010131  0+ 1- 4o 4o  4- 4- 4o 3o   23+ D3* 18 1.0
0101                                  Mean  8 0.42

0101 Q  1  30   6   2  19  18  27   7   5K  9 
0101 D 24  21* 31* 23* 29*
