130201  2o 0o 0o 1o  1o 2- 1+ 2+    9+      4 0.2
130202  2- 3+ 2+ 3-  2o 2o 3o 1o   18o D4* 10 0.5
130203  3- 1- 0+ 1o  2- 1o 0+ 1-    8+ Q8   4 0.2
130204  1- 1- 1o 0+  1+ 2o 2+ 0+    9-      4 0.2
130205  0+ 1o 1+ 1-  1- 0+ 0o 0o    4+ Q2   2 0.0
130206  0o 0o 0o 0o  0o 0o 1- 1o    2- Q1   1 0.0
130207  1o 1+ 3- 3o  2o 1o 1+ 1+   14-      7 0.4
130208  2- 2+ 3o 2-  3- 2o 1o 1+   16-      8 0.4
130209  2- 2- 1o 1-  0o 0o 1o 0+    6+ Q5   3 0.1
130210  2- 2- 1+ 1-  0+ 1- 2o 1o    9+ Q0   4 0.2
130211  1+ 2- 1- 0+  1- 1o 2o 2o   10-      5 0.2
130212  1o 0+ 0o 1-  1+ 2- 2- 3-    9+      5 0.2
130213  3- 3o 1+ 2-  1o 1+ 3+ 4+   19- D2* 12 0.7
130214  4o 4- 3+ 3o  3- 2o 2+ 2o   23o D1* 15 0.8
130215  0o 1o 1o 1o  1- 1+ 2o 1+    8+ Q7   4 0.1
130216  1- 0o 0o 1-  2+ 4o 3+ 1o   12o      8 0.4
130217  0+ 2- 2- 2o  3- 3+ 3o 2o   17- D5*  9 0.5
130218  0+ 0o 0o 0+  1- 1- 1o 3+    6+ Q9K  4 0.1
130219  0+ 1+ 1+ 2-  2o 2+ 2o 2-   13-      6 0.3
130220  1+ 1+ 2- 3o  2+ 2o 2o 1o   15-      7 0.4
130221  3o 2+ 2+ 1-  1- 1+ 2- 2o   14o      7 0.4
130222  2+ 3- 2- 2o  3o 2o 2+ 3+   19+ D3* 10 0.6
130223  3o 1+ 0+ 2o  2+ 1o 2+ 2+   15-      8 0.4
130224  1- 2- 1- 1o  0+ 1o 0+ 1-    6+ Q3   3 0.1
130225  0o 0o 0+ 1-  1o 1+ 1o 2-    6o Q4   3 0.1
130226  1o 2- 1o 2-  1+ 1o 2o 1o   11-      5 0.2
130227  1o 1+ 2- 1-  1+ 1- 0o 1-    7+ Q6   4 0.1
130228  2- 1o 2- 1o  2- 1- 2- 4o   13+      8 0.4
1302                                  Mean  6 0.29

1302 Q  6   5  24  25   9  27  15   3  18K 10 
1302 D 14* 13* 22*  2* 17*
