990601  0+ 1o 1+ 1-  2o 2+ 2+ 2+   12+      6 0.3
990602  3o 1+ 1o 2-  1+ 1+ 1+ 4+   15+     10 0.5
990603  3+ 2- 1+ 2-  2- 1- 1+ 2-   13+      7 0.3
990604  2- 2o 2+ 1+  2+ 2+ 2- 3-   16+      8 0.4
990605  2o 0+ 0+ 1o  1o 1- 2- 1o    8o Q9   4 0.1
990606  0+ 1- 1- 1o  1o 1+ 1- 0o    6- Q6   3 0.1
990607  0+ 1o 1- 1-  1+ 2- 2- 2+   10-      5 0.2
990608  2+ 3o 3+ 3+  2+ 4- 2+ 2-   22o D5* 13 0.8
990609  3- 3o 1+ 1-  3- 4o 4- 3+   21+ D4* 14 0.8
990610  2+ 2- 1o 1-  1- 1- 1- 1-    8+      4 0.1
990611  0+ 1- 1- 1o  1o 1o 2- 2o    8+ Q0   4 0.1
990612  2+ 2o 0+ 0+  1+ 1+ 1- 1+   10-      5 0.2
990613  2o 1+ 1- 1-  1o 1- 1+ 2-    9+      4 0.2
990614  0+ 1o 1o 0+  0+ 0o 0+ 1-    4o Q2   2 0.0
990615  0+ 0o 0+ 1-  2+ 3+ 1+ 1+   10-      6 0.2
990616  1o 1o 2o 3-  2o 1+ 3- 1+   14o      7 0.4
990617  2o 2o 2+ 1o  1+ 1+ 1o 1+   12+      6 0.3
990618  1o 2+ 2- 1+  2- 2- 1o 3-   13+      6 0.3
990619  2- 2- 1o 1-  1o 1+ 1- 0+    8+ Q8   4 0.1
990620  0+ 0+ 0o 1-  1+ 1o 1o 0o    5- Q4   2 0.0
990621  0o 0+ 0+ 1-  1- 1- 0+ 0+    3+ Q1   2 0.0
990622  0o 0o 0+ 0+  1- 1- 0+ 1+    4- Q3   2 0.0
990623  1- 1o 1+ 1+  1- 1- 1+ 2o    9o      4 0.2
990624  1+ 1o 1- 1o  2- 1o 2- 1o    9+      4 0.2
990625  2- 1o 0+ 1-  0+ 1- 1- 1o    6+ Q7   3 0.1
990626  2o 3+ 4- 3o  3+ 3- 5- 3o   26- D3* 18 1.0
990627  2o 3- 2+ 4-  5o 4o 5+ 4-   29- D1  25 1.2
990628  2+ 6o 6- 3+  2+ 2o 2+ 2+   26+ D2  26 1.2
990629  1+ 2- 2- 2+  2o 2+ 2o 1o   14+      7 0.3
990630  1o 1- 1+ 0+  0+ 1- 1- 0+    5+ Q5   3 0.1
9906                                  Mean  7 0.32

9906 Q 21  14  22  20  30   6  25  19   5  11 
9906 D 27  28  26*  9*  8*
