040801  4- 2+ 1o 1o  1+ 1o 2- 2o   14o      8 0.4
040802  1o 1+ 2+ 2+  1o 0+ 1o 3-   12o      6 0.3
040803  2- 1+ 1- 0+  1- 0o 0o 0+    5o Q4   3 0.0
040804  0o 0+ 1- 1-  1+ 1- 0+ 1-    5- Q1   3 0.0
040805  0o 1- 1- 1+  2o 1+ 2o 3-   11-      5 0.2
040806  3- 1- 1- 0o  1- 1- 2- 2+    9+      5 0.2
040807  3- 3- 4o 4-  4- 2o 2- 3-   23o     15 0.8
040808  1+ 1o 1o 0+  1- 0+ 1- 0+    6- Q2   3 0.1
040809  2o 2- 3+ 2o  1+ 2+ 4o 4+   21o     14 0.8
040810  4- 2- 2- 2o  4- 3+ 4o 3+   23+ D4* 16 0.9
040811  2+ 1+ 2+ 3+  2+ 2+ 3o 2+   19+     10 0.6
040812  3o 2o 2- 2-  2- 1+ 1+ 2+   15o      7 0.4
040813  2o 2- 1o 1-  1+ 1+ 2+ 3-   13o      6 0.3
040814  2o 2- 2o 3-  2- 1+ 2o 2-   15o      7 0.4
040815  1- 1- 0+ 1-  3- 0+ 1- 1-    7- Q7   4 0.1
040816  0+ 1- 0+ 1o  2o 2o 2- 2o   10o Q0   5 0.2
040817  3o 1+ 0+ 1+  2+ 2+ 4- 3o   17+     10 0.6
040818  2o 2+ 3o 2-  2o 2- 2- 3-   17o      8 0.5
040819  1+ 1- 0+ 1o  1o 2- 1o 2-    9- Q6   4 0.1
040820  3o 3o 2+ 4-  3+ 3+ 2+ 3o   24o D5* 15 0.9
040821  3+ 4- 4o 3-  2- 2+ 3o 4-   24+ D3* 16 0.9
040822  3o 2+ 3- 3+  2+ 3- 3- 2+   21+     12 0.7
040823  2o 1+ 1+ 1o  1o 1+ 1o 1-   10- Q8   5 0.2
040824  1+ 0+ 1- 1o  1- 1o 1- 0o    6- Q3   3 0.1
040825  0+ 1+ 1- 1+  1+ 1+ 1o 1-    8o Q5   4 0.1
040826  1- 0+ 1- 1-  1+ 2- 2- 2+    9+ Q9   5 0.2
040827  2- 1o 1o 0+  1+ 2- 3- 2o   12-      6 0.3
040828  2- 2+ 3+ 2o  1- 1o 1+ 1+   14-      7 0.4
040829  2- 2- 0+ 2-  1+ 1+ 1+ 2-   11o      5 0.2
040830  2+ 2o 3+ 4o  4o 6- 5o 7o   33+ D1  42 1.5
040831  5+ 5- 5o 3o  3+ 3o 3+ 3-   30+ D2  28 1.2
0408                                  Mean  9 0.44

0408 Q  4   8  24   3  25  19  15  23  26  16 
0408 D 30  31  21* 10* 20*
