990101  0+ 3- 1o 1+  2- 1+ 2+ 2o   13-      6 0.3
990102  2o 2+ 1o 2+  2+ 2+ 1+ 1-   14+      7 0.3
990103  2+ 2- 1- 0o  1o 1- 1- 1+    8+ Q4   4 0.1
990104  1o 2o 2- 2-  2- 2o 1+ 3-   14o      7 0.3
990105  3+ 3+ 2o 2-  1+ 1+ 0+ 2o   15+      8 0.5
990106  2+ 1+ 3- 1o  3+ 2+ 3o 2+   18+     10 0.6
990107  1o 1o 2o 2o  3- 3o 3- 2+   17-      9 0.5
990108  3+ 3- 2+ 4-  3o 3o 4o 3+   25+ D5* 17 0.9
990109  4- 3+ 3o 2-  1o 1+ 2o 3-   19-     11 0.6
990110  2+ 1+ 2o 3o  1- 0o 1+ 1o   12-      6 0.3
990111  2o 2- 1+ 2-  1o 1o 2o 1+   12o Q8   6 0.2
990112  1+ 0+ 1o 1o  2o 1- 2o 2+   11- Q6   5 0.2
990113  2+ 2o 1+ 3+  4o 5+ 6- 7o   31o D1  40 1.5
990114  3- 3- 5o 5+  4+ 4o 3o 4+   31+ D2  29 1.3
990115  4- 5- 3o 3+  3+ 4- 3o 2o   27- D4  20 1.0
990116  2+ 3+ 2+ 2+  1+ 1+ 1o 1+   15+      8 0.4
990117  3- 2o 2o 1o  1o 1o 1- 1+   12- Q9   6 0.3
990118  0o 0o 0+ 0+  1- 2o 3o 2+    9- Q7K  5 0.2
990119  2o 1o 1+ 2-  0+ 0+ 0+ 1-    8- Q2   4 0.1
990120  1+ 1- 0+ 1o  2- 3+ 3o 2o   13+      8 0.4
990121  1o 2+ 1+ 3o  2- 1- 1- 0+   11o Q0K  6 0.3
990122  1+ 1o 1+ 1+  3+ 4o 4- 4-   20-     14 0.8
990123  2+ 3o 3o 3+  2o 4+ 4o 5o   27o D3  21 1.1
990124  4+ 4- 3+ 2+  3- 3o 4- 2-   25-     17 0.9
990125  4- 3- 2+ 2+  1+ 1+ 2- 1+   17-      9 0.5
990126  2+ 1- 1o 2o  1- 0o 1- 2+   10- Q5   5 0.2
990127  2o 3o 2- 2o  3- 3- 2+ 1+   18-      9 0.5
990128  0+ 1- 2+ 2o  3- 3- 2- 2o   14+      7 0.4
990129  1+ 2o 2o 2o  2+ 2+ 2- 2o   16-      7 0.4
990130  2o 1o 1+ 2-  0+ 1o 0+ 0+    8o Q3   4 0.1
990131  1- 2- 1o 1-  1o 1o 0+ 0o    6+ Q1   3 0.1
9901                                  Mean 10 0.49

9901 Q 31  19  30   3  26  12  18K 11  17  21K
9901 D 13  14  23  15   8*
