970701  1o 1+ 0+ 0+  1+ 1o 1o 1o    7+ Q5   4 0.1
970702  1+ 1- 0+ 0+  1+ 1- 2- 2-    8o      4 0.1
970703  2o 1+ 1o 2o  2+ 2- 0+ 1+   12o      6 0.3
970704  2- 2- 1+ 1-  2- 3- 1+ 1o   12o      6 0.3
970705  1- 1+ 1+ 1o  2- 1o 0+ 0+    8- Q8   4 0.1
970706  1- 2- 1+ 2-  1- 0+ 1o 1-    8o Q0   4 0.1
970707  1o 3o 2+ 2o  2+ 4- 4o 4o   22+ D2* 15 0.8
970708  1+ 1o 1- 1-  1o 1o 1- 1+    8- Q6   4 0.1
970709  3- 3- 2- 1-  2- 3+ 4- 2o   18+ D5* 11 0.6
970710  1- 1+ 2o 2+  2- 2- 1+ 1o   12o      6 0.3
970711  1o 1- 1- 1o  2- 1- 1+ 1+    8+ Q9   4 0.1
970712  1o 1- 0+ 0o  1- 1- 1- 1-    5- Q2   3 0.0
970713  0+ 1o 1o 1-  1- 1o 1- 1-    6o Q3   3 0.1
970714  0+ 0+ 0+ 0+  1- 1o 1- 0+    4o Q1   2 0.0
970715  1o 2+ 2o 4-  3- 3+ 3- 2+   20o D3* 12 0.7
970716  2- 2- 1o 1o  1+ 1o 1o 1o   10-      5 0.2
970717  0+ 1o 2+ 1o  1o 2- 2o 3o   12+      6 0.3
970718  2+ 3+ 2+ 2+  2o 2- 1- 2-   16+      8 0.5
970719  2- 3o 2o 2-  3- 2+ 2- 2o   17o      8 0.5
970720  2+ 1+ 1o 2o  2o 1o 1- 1-   11o      5 0.2
970721  1- 1o 2- 1o  1o 2- 2- 1+   10o      5 0.2
970722  1+ 1- 1- 1+  2- 1+ 2- 1-    9+      4 0.2
970723  1- 1+ 1o 1-  1o 1- 1+ 2+    9o      4 0.2
970724  2- 1+ 2+ 2+  4- 3- 3o 3-   20- D4* 11 0.6
970725  2+ 1+ 1- 1o  1o 1o 2- 1o   10o      5 0.2
970726  1- 1- 1o 0+  1- 1o 1+ 2-    7+ Q7   4 0.1
970727  1o 1+ 1+ 1+  2- 2- 1- 2-   11-      5 0.2
970728  2- 1- 1+ 1+  2o 1+ 1- 1-   10-      5 0.2
970729  1- 1+ 1o 1-  1o 1- 1o 1-    7o Q4   4 0.1
970730  3o 2+ 1- 1o  0+ 0+ 1o 3o   12-      7 0.3
970731  4o 4+ 3+ 3+  2+ 2- 1+ 2o   22+ D1* 15 0.9
9707                                  Mean  6 0.28

9707 Q 14  12  13  29   1   8  26   5  11   6 
9707 D 31*  7* 15* 24*  9*
