031001  3o 2o 1+ 1o  1o 1o 3o 4o   16+     10 0.6
031002  3- 2+ 1+ 1-  1+ 2- 2+ 3-   15o Q8A  8 0.4
031003  3+ 5- 3o 2-  3o 4- 3o 2o   24+     17 0.9
031004  1+ 2- 3o 1+  2+ 0+ 0o 0o   10o Q5K  5 0.2
031005  0o 1- 0+ 0o  0+ 2- 3- 3+    9o Q6K  5 0.2
031006  2+ 1o 1o 1+  2o 2o 3+ 3+   16+ Q0A  9 0.5
031007  4+ 2o 3- 3+  3- 3+ 3- 2+   23+     15 0.8
031008  2- 1+ 2o 2-  2- 1- 2o 3-   14- Q7   6 0.3
031009  4o 2+ 1o 1+  1+ 1o 1- 0+   12o Q9A  7 0.4
031010  0o 0o 1- 0+  1- 1- 1- 2-    5- Q2   2 0.0
031011  1o 0o 1- 0+  0+ 0o 0+ 1-    3+ Q1   2 0.0
031012  0+ 0+ 0+ 1o  1o 1o 1+ 2-    7o Q3   4 0.1
031013  3+ 3o 2- 1+  3- 3o 4- 5-   23+     16 0.9
031014  3+ 4o 6- 5o  4+ 4+ 7+ 7+   41+ D4  66 1.7
031015  3+ 4+ 6o 6-  4o 5- 5- 5o   38-     44 1.5
031016  5o 3+ 3+ 5-  4o 4+ 3+ 4+   32+     29 1.3
031017  5- 5+ 6- 4+  4- 2+ 3- 4-   32+     32 1.3
031018  4o 5- 4+ 3+  4o 3+ 3o 4o   31-     25 1.2
031019  4- 4+ 4+ 3+  5- 5- 5+ 5+   36-     37 1.4
031020  4- 3o 5o 4+  4o 4+ 5o 6-   35o     36 1.4
031021  5- 4o 5- 5-  5+ 5+ 5+ 6o   40o D5  49 1.6
031022  5- 5+ 5o 3+  4+ 5o 4- 2-   33o     34 1.3
031023  3- 1+ 2+ 2-  1o 1o 1- 0+   11o Q4   6 0.3
031024  0+ 1+ 2o 3-  5- 7- 5o 6o   29-     38 1.4
031025  4o 3- 3- 2+  4+ 4- 1+ 3-   24-     16 0.9
031026  2+ 2o 2- 2o  1o 1o 3+ 4-   17o     10 0.5
031027  4- 3+ 3+ 2o  2o 2+ 1+ 1o   19o     11 0.6
031028  3o 5- 4- 5-  3- 4o 3+ 4o   30o     25 1.2
031029  5- 4o 9o 8o  8- 8- 9- 9-   58+ D1 204 2.1
031030  9- 7+ 5+ 5-  5o 7o 9o 9o   56o D2 191 2.1
031031  8+ 8- 7+ 7-  7+ 5- 4o 4+   50+ D3 116 1.9
0310                                  Mean 35 0.94

0310 Q 11  10  12  23   4K  5K  8   2A  9A  6A
0310 D 29  30  31  14  21 
