971001  4o 4- 5+ 5+  5- 7o 4o 2-   36- D1  46 1.5
971002  2- 2o 1- 1-  1+ 1- 0o 3-   10-      5 0.2
971003  1+ 2- 2+ 3-  3- 2+ 2o 1-   16-      8 0.4
971004  2- 0+ 0+ 1+  2o 1o 0+ 1o    8o Q9   4 0.1
971005  1o 0+ 0o 0+  0o 0+ 1- 1-    3+ Q1   2 0.0
971006  0o 0o 0o 0+  0+ 1+ 1+ 2o    5+ Q6   3 0.0
971007  1+ 2o 1+ 1+  2o 3o 2o 4-   17-      9 0.5
971008  1o 1+ 3o 3-  4o 3+ 2o 4-   21o     14 0.8
971009  3o 4- 4+ 3-  3+ 2+ 3+ 2+   25o     17 0.9
971010  3o 4- 4+ 3-  2+ 3+ 5- 6+   30+ D2  30 1.3
971011  6- 6+ 4- 2-  0+ 1- 0+ 0+   19o     25 1.2
971012  1- 3- 2o 2o  1+ 1o 1- 1-   11o      6 0.2
971013  3- 2o 1o 2+  1o 1- 1+ 1-   12-      6 0.3
971014  0o 1o 1+ 1+  2- 1- 0+ 0o    6+ Q7   3 0.1
971015  0o 0o 0+ 1o  1o 2- 0+ 0+    5- Q3   2 0.0
971016  0+ 1- 1o 1-  0o 0+ 1o 2-    6- Q5   3 0.1
971017  0o 0o 1o 2+  2o 2o 2+ 2+   12o      6 0.3
971018  2- 2o 1o 1-  0+ 1- 0+ 1-    7+ Q8   4 0.1
971019  0+ 0+ 1- 1o  1- 1o 0+ 1-    5o Q2   3 0.1
971020  2+ 2o 2+ 1-  1o 1- 1+ 0+   11-      5 0.2
971021  1+ 1- 1o 1o  1- 0+ 0o 1-    6- Q4   3 0.1
971022  2- 2o 0+ 1-  0+ 1- 2- 1+    9- Q0   4 0.1
971023  0o 0o 2- 2o  2- 2+ 2+ 4-   14-      7 0.4
971024  2+ 3- 2+ 4+  5+ 3o 2o 3+   25+ D4  20 1.0
971025  5o 5- 2+ 3+  3o 2+ 2+ 3o   26o D3  20 1.0
971026  5- 3+ 1- 0+  2+ 4o 3+ 4o   23-     18 1.0
971027  5- 4o 4- 2+  1+ 2o 4- 4-   25+ D5* 19 1.0
971028  4o 2+ 2o 3-  3- 3+ 4- 3o   24-     15 0.9
971029  3- 2+ 3o 2o  1- 1- 2- 2-   15-      8 0.4
971030  1+ 0o 2- 2+  3- 1+ 2o 2o   13+      6 0.3
971031  2o 2- 1o 0+  1- 2- 1o 1o    9+      4 0.2
9710                                  Mean 10 0.47

9710 Q  5  19  15  21  16   6  14  18   4  22 
9710 D  1  10  25  24  27*
