940801  3- 2+ 2- 1o  1o 1o 1+ 2-   13-      6 0.3
940802  2- 1- 0+ 1o  0+ 1- 1- 1+    7- Q3   4 0.1
940803  1o 1o 1o 1+  1- 1o 1+ 1+    9- Q7   4 0.1
940804  1o 0+ 0+ 0+  1o 1- 0+ 1-    5- Q2   3 0.0
940805  1+ 2o 1+ 1+  1- 1o 1+ 1-   10- Q9   5 0.2
940806  1- 1+ 2- 1o  1o 1- 1- 1+    8+ Q6   4 0.1
940807  0+ 0+ 0+ 1-  2- 1+ 1- 2-    7o Q5   4 0.1
940808  1o 0+ 0o 0o  0+ 1- 0+ 1-    3+ Q1   2 0.0
940809  1- 1o 1o 0+  1- 1o 2+ 2-    9- Q8   4 0.2
940810  2o 1+ 3- 2o  4- 3- 3o 2+   20-     11 0.6
940811  3+ 3+ 2+ 3-  3- 3+ 3- 3o   23+ D5* 14 0.8
940812  4- 4- 3o 3-  3o 3- 4+ 3o   26o D3* 18 1.0
940813  3+ 5- 4+ 3-  5- 4o 4+ 3+   31+ D1  27 1.2
940814  4o 4o 5o 4+  3- 3+ 4- 3+   30+ D2  26 1.2
940815  4o 2o 2o 2o  3o 2+ 3o 3+   22- D4* 13 0.8
940816  2+ 2- 1+ 2+  2- 1+ 3o 3o   17-      9 0.5
940817  2- 2o 3- 2-  2- 2o 1+ 1o   14o      7 0.3
940818  1- 1+ 2- 2+  2+ 2- 1o 2-   13-      6 0.3
940819  2- 1+ 2- 1-  1o 1+ 2- 1-   10o      5 0.2
940820  1o 2+ 2+ 2-  1+ 2- 2o 2o   14+      7 0.3
940821  2+ 2- 0+ 1-  3o 3o 1o 1-   13-      7 0.4
940822  2o 2- 1- 1+  2+ 2+ 2+ 4+   17o     10 0.6
940823  3- 2+ 1o 1o  1o 1o 1+ 1-   11o      6 0.3
940824  1- 2- 1o 1-  1o 2+ 2+ 2+   12o      6 0.3
940825  2o 3o 2+ 3o  3o 2+ 2+ 1-   19-     10 0.6
940826  0+ 2- 2o 2-  1- 1+ 2- 3-   12o      6 0.3
940827  3+ 2+ 2+ 2-  1+ 2o 3- 2o   18-      9 0.5
940828  2+ 3+ 2o 2-  1- 1- 1+ 1-   13-      7 0.3
940829  1o 1- 2o 1+  1+ 1+ 0+ 2-   10- Q0   5 0.2
940830  1- 1- 1o 1o  1o 1+ 1o 1+    8o Q4   4 0.1
940831  1o 1o 0+ 1-  2+ 2+ 1o 3-   11+      6 0.3
9408                                  Mean  8 0.39
